Full Name,DOB,Age,Gender,Grade / School,Batch,Level,Joining Date,Status,Parent Name,Parent Phone,Parent WhatsApp,Parent Email,Parent 2 Name,Parent 2 Phone,Emergency Contact,Emergency Phone,Address,Photo Consent,This Month Attended,Notes,School,Standard,TNSCA ID,FIDE ID,AICF ID,Classical Rating,Rapid Rating,Blitz Rating,Coach Name,Chess.com Username,Lichess Username,Photo URL
Rupesh Ravi,2015-06-09,"=IF(B12="""","""",DATEDIF(B12,TODAY(),""Y""))",Male,"5th, Velammal Vidyalaya",Intermediate,Intermediate,2026-01-01,Active,Ravi,9365520120,9365520120,rupesh.ravi@example.com,,,Ravi,9365520120,"Cuddalore, Tamil Nadu",Yes,0,Special talent; Won many trophies,Velammal Vidyalaya,5th,7963 CUD 2025,583010092,395382 TN 2026,1428,,,Coach Meera,rupesh_ravi,rupesh-ravi,
Mahathi Kumaravel,2016-02-28,"=IF(B13="""","""",DATEDIF(B13,TODAY(),""Y""))",Female,"4th, Kendriya Vidyalaya",Intermediate,Intermediate,2026-01-01,Active,Kumaravel,9360814680,9360814680,mahathi.kumaravel@example.com,,,Kumaravel,9360814680,"Cuddalore, Tamil Nadu",Yes,0,Won many trophies; Girls category champion,Kendriya Vidyalaya,4th,33067 CUD 2025,56708647,36322 TN 2024,1591,1460,,Coach Meera,mahathi_kumaravel,mahathi-kumaravel,
Nithin Kumaravel,2019-03-18,"=IF(B14="""","""",DATEDIF(B14,TODAY(),""Y""))",Male,"1st, Kendriya Vidyalaya",Beginner,Beginner,2026-01-01,Active,Kumaravel,9360814680,9360814680,nithin.kumaravel@example.com,,,Kumaravel,9360814680,"Cuddalore, Tamil Nadu",Yes,0,U-07 National Chess Champion 2025; U-07 Maharashtra Chess Champion 2026,Kendriya Vidyalaya,1st,58447 CUD 2026,5370539,3083522 2025,1462,1466,1430,Coach Meera,nithin_kumaravel,nithin-kumaravel,
Shiva Rajkumar,2014-02-16,"=IF(B15="""","""",DATEDIF(B15,TODAY(),""Y""))",Male,"6th, Bharathi Vidyalaya",Intermediate,Intermediate,2026-01-01,Active,Rajkumar,8110028017,8110028017,shiva.rajkumar@example.com,,,Rajkumar,8110028017,"Cuddalore, Tamil Nadu",Yes,0,Won many trophies,Bharathi Vidyalaya,6th,26496 CUD 2025,577043910,374959 TN 2026,1390,,,Coach Meera,shiva_rajkumar,shiva-rajkumar,
Dharun D,2014-06-22,"=IF(B16="""","""",DATEDIF(B16,TODAY(),""Y""))",Male,"6th, St. Mary's School",Beginner,Beginner,2026-01-01,Active,Dhanasekaran,9360892701,9360892701,dharun.d@example.com,,,Dhanasekaran,9360892701,"Cuddalore, Tamil Nadu",Yes,0,Active student,St. Mary's School,6th,49160 CUD 2025,577043791,379600 TN 2026,,,,Coach Meera,dharun_d,dharun-d,
Selvaraj R,2016-08-20,"=IF(B17="""","""",DATEDIF(B17,TODAY(),""Y""))",Male,"4th, Al-Ameen School",Beginner,Beginner,2026-01-01,Active,Rafiq,8440337701,8440337701,selvaraj.r@example.com,,,Rafiq,8440337701,"Cuddalore, Tamil Nadu",Yes,0,Solid opening fundamentals,Al-Ameen Matric School,4th,53680 CUD 2025,531001670,211030 TN 2024,1432,1423,,Coach Meera,selvaraj_r,selvaraj-r,
Sudharsan Srinivasan,2013-03-20,"=IF(B18="""","""",DATEDIF(B18,TODAY(),""Y""))",Male,"7th, Aurobindo Vidyalaya",Intermediate,Intermediate,2026-01-01,Active,Srinivasan,9340735520,9340735520,sudharsan.srinivasan@example.com,,,Srinivasan,9340735520,"Cuddalore, Tamil Nadu",Yes,0,Attentive learner,Sri Aurobindo Vidyalaya,7th,81157 CUD 2026,583038271,401977 TN 2025,,,,Coach Meera,sudharsan_srinivasan,sudharsan-srinivasan,
Anish Balan,2011-05-15,"=IF(B19="""","""",DATEDIF(B19,TODAY(),""Y""))",Male,"9th, Govt High School",Intermediate,Intermediate,2026-01-01,Active,Balasubramanian,9180281830,9180281830,anish.balan@example.com,,,Balasubramanian,9180281830,"Cuddalore, Tamil Nadu",Yes,0,Senior intermediate player,Govt Higher Secondary School,9th,74910 CUD 2026,583038310,401973 TN 2025,,,,Coach Meera,anish_balan,anish-balan,
Dhanush Balan,2013-09-03,"=IF(B20="""","""",DATEDIF(B20,TODAY(),""Y""))",Male,"7th, Govt High School",Intermediate,Intermediate,2026-01-01,Active,Balasubramanian,9180281830,9180281830,dhanush.balan@example.com,,,Balasubramanian,9180281830,"Cuddalore, Tamil Nadu",Yes,0,Active tournament player,Govt Higher Secondary School,7th,64128 CUD 2025,583010267,395379 TN 2026,,,,Coach Meera,dhanush_balan,dhanush-balan,
Ishva Ramya,2012-09-27,"=IF(B21="""","""",DATEDIF(B21,TODAY(),""Y""))",Female,"8th, Vivekananda Vidyalaya",Advanced,Advanced,2026-01-01,Active,Ramya Sundaram,8013452554,8013452554,ishva.ramya@example.com,,,Ramya Sundaram,8013452554,"Cuddalore, Tamil Nadu",Yes,0,Won many trophies and prizes,Vivekananda Vidyalaya,8th,47296 CUD 2026,583010149,395381 TN 2026,,,,Coach Meera,ishva_ramya,ishva-ramya,
Pragha Saikumar,2016-03-23,"=IF(B22="""","""",DATEDIF(B22,TODAY(),""Y""))",Female,"4th, Aditya Vidyashram",Beginner,Beginner,2026-01-01,Active,Saikumar,7539923783,7539923783,pragha.saikumar@example.com,,,Saikumar,7539923783,"Cuddalore, Tamil Nadu",Yes,0,Enthusiastic tactical learner,Aditya Vidyashram,4th,4864 CUD 2026,583010076,395375 TN 2026,,,,Coach Meera,pragha_saikumar,pragha-saikumar,
Laya Krishna,2019-12-10,"=IF(B23="""","""",DATEDIF(B23,TODAY(),""Y""))",Female,"1st, Sankara Vidyalaya",Beginner,Beginner,2026-01-01,Active,Navaneetha Krishnan,9188681815,9188681815,laya.krishna@example.com,,,Navaneetha Krishnan,9188681815,"Cuddalore, Tamil Nadu",Yes,0,U-07 Tamil Nadu State Chess Champion; Represented Tamil Nadu in U-07 National,Sri Sankara Vidyalaya,1st,59102 CUD 2026,5370787,286000 TN 2025,1521,1469,,Coach Meera,laya_krishna,laya-krishna,
Mahik Nikhil,2018-06-10,"=IF(B24="""","""",DATEDIF(B24,TODAY(),""Y""))",Male,"2nd, Montfort School",Beginner,Beginner,2026-01-01,Active,Nikhil,9203200660,9203200660,mahik.nikhil@example.com,,,Nikhil,9203200660,"Cuddalore, Tamil Nadu",Yes,0,Represented Cuddalore in Tamil Nadu State Level Chess Championship; Played State RD/BD two times,Montfort Matric School,2nd,33018 CUD 2025,8300001,194000 TN 2023,1664,1639,1635,Coach Meera,mahik_nikhil,mahik-nikhil,
